dataset,partition_method,logical_shard_count,query_count,target_recall,selected_fanout,minimum_feasible_fanout,selected_ef_search,selected_tuning_recall,measurement_recall,actual_fanout_mean,actual_fanout_query_population_std,actual_fanout_median,actual_fanout_p95,actual_fanout_p99,actual_normalized_fanout,oracle_fanout_mean,oracle_fanout_query_population_std,oracle_fanout_median,oracle_fanout_p95,oracle_fanout_p99,oracle_normalized_fanout,deterministic_repetition_count,between_repetition_std,partition_artifact_sha256,tuning_artifact_sha256,e3_per_search_sha256,oracle_distribution_counts,actual_distribution_counts
sift1m,kmeans,16,9000,0.9,3,2,24,0.9177000000000001,0.9267,3.0,0.0,3.0,3.0,3.0,0.1875,1.6102222222222222,0.7151269938157493,1.0,3.0,4.0,0.10063888888888889,1,,e7a05d63144efef0b9b2eb5904f044e2b59eb30a701bad0bb44d32c97f686520,3adabcb85aee5ecb0413ab0fa5b744d8c32390a703344f3b5886b0f538199c3c,d07f5842b0f542b34398c2233bc90178f8dff6839eea06ef67191bd9ba1cc93e,"{""1"":4633,""2"":3342,""3"":931,""4"":88,""5"":6}","{""3"":9000}"
sift1m,kmeans,32,9000,0.9,3,3,32,0.9138999999999999,0.9202222222222223,3.0,0.0,3.0,3.0,3.0,0.09375,1.8714444444444445,0.9072707070122287,2.0,4.0,4.0,0.05848263888888889,1,,029e078796de780acabe63b3902b4cfbc60c3b9a0bd61be376346b4b0010f549,840a473ec2f0f468e6f355beaeae428c2f631f82ecda5219578873a2bc7d7ed2,f3ade5fe944e8ef3896cf763640da83b8de7eb902a75f3c93ad2fc805b6ca306,"{""1"":3701,""2"":3312,""3"":1517,""4"":394,""5"":66,""6"":9,""7"":1}","{""3"":9000}"
glove-200-angular,random,1,9000,0.9,1,1,192,0.9236,0.9267,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,,97313d67339f0ea621aa42ed5562c3701d783589b96364be1ee981a03901f13b,428fa80af77347022da43aa7f8bda414dae3255483e8e755a509070beec37231,3be067c458925b25627857605c475bb49c2ae3b02e45b9f1dcfcd57e35e96dd5,"{""1"":9000}","{""1"":9000}"
glove-200-angular,random,2,9000,0.9,2,2,128,0.9078999999999999,0.9018444444444444,2.0,0.0,2.0,2.0,2.0,1.0,1.9774444444444443,0.14848165701235894,2.0,2.0,2.0,0.9887222222222222,1,,5c154087494614be1871db5638e1eec106487dff4c6d96a0c35ec6de855ff77b,2eb7a204e721c85ea2aa6c2e65b9b00364a185335641589c67c5baaa7942fefd,8977f46525c694ec06294785fdc8c7b9d65df9b37e58fe4c89210dd3f3212dec,"{""1"":203,""2"":8797}","{""2"":9000}"
glove-200-angular,random,4,9000,0.9,4,4,128,0.901,0.9020777777777778,4.0,0.0,4.0,4.0,4.0,1.0,3.1453333333333333,0.5079265038697365,3.0,4.0,4.0,0.7863333333333333,1,,57931d3f726ec2e3bd5960c47145792b036502044929061e2bbc2135e0e0c56f,02a87cd8f826ab88b54f4a28037b8a524a2c9b38a0f9a525954910094686c668,5ccefa0a0e49e00ac51008a19377904ebbb17ef6d9704877abfbdb7e6e66bf63,"{""1"":2,""2"":596,""3"":6494,""4"":1908}","{""4"":9000}"
glove-200-angular,random,8,9000,0.9,8,8,96,0.913,0.912,8.0,0.0,8.0,8.0,8.0,1.0,4.929111111111111,0.8779251353104525,5.0,6.0,7.0,0.6161388888888889,1,,576c1b3df2c3e34d92bca9ab819474e609d01d3f64d1643863dee80320eb4aa8,9253e64c05ebc6ae63def849d30d72edd8d61e5126966c72fd7951688fdce2b0,d7a46864363d5ddff955ba4559c527a03a6c2b4be3010a53692a0cbd804e8935,"{""2"":15,""3"":342,""4"":2445,""5"":3911,""6"":2038,""7"":249}","{""8"":9000}"
glove-200-angular,random,16,9000,0.9,16,16,64,0.9101,0.9150444444444444,16.0,0.0,16.0,16.0,16.0,1.0,6.610888888888889,1.0538465463291495,7.0,8.0,9.0,0.41318055555555555,1,,1f6140d37db3bf86495860d8494e36985aa8ba523e2095e8527b72fe655c0a4b,2672c10e1fbc86403b08837ce7237b7ee26989115a39f073abd7ef087bf28ee1,c628cd33bc9e81e43d133599f0ba90a8a2185011dac702cecaefc946f703eb2e,"{""3"":10,""4"":176,""5"":1093,""6"":2759,""7"":3187,""8"":1539,""9"":236}","{""16"":9000}"
glove-200-angular,random,32,9000,0.9,32,32,48,0.9251,0.9222666666666667,32.0,0.0,32.0,32.0,32.0,1.0,7.6995555555555555,0.9477223117806786,8.0,9.0,9.0,0.2406111111111111,1,,27eb4d507a626277b2755c430d33cc816a37e269a19518045a34e70cdce81569,673aa1b959a984c4df879b6557c3f70158e7617c2711f6e9b0a8bef7ebfb1b83,c601cb1f82be1eba90b789b04a91c3b61f754f40600d54f280d89a859894adb6,"{""4"":9,""5"":126,""6"":816,""7"":2506,""8"":3695,""9"":1848}","{""32"":9000}"
glove-200-angular,kmeans,1,9000,0.9,1,1,192,0.9236,0.9267,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,,c459b380050e2765667289ba2a55884ce3b4421a00ec49d0c9123bd2dc297c56,d243b52e3e7067e1dfd6a7d0f89f08b75c3b5c6ead051415b6d28ae84b5f457b,7288734b0993b6dad7d646808b3fc4f415e456ec1cdc0b37885c9820871ff883,"{""1"":9000}","{""1"":9000}"
glove-200-angular,kmeans,2,9000,0.9,2,2,192,0.929,0.9262666666666666,2.0,0.0,2.0,2.0,2.0,1.0,1.3296666666666668,0.47009207136002146,1.0,2.0,2.0,0.6648333333333334,1,,675f7d857b1abbb94b4ffc08da17df710b9c639aaf9cfe73c2581b21f4dcd46b,0a4c8f3cd80d96d51fd7072f7dfe1eccc741cac8f609a3014d8cb04b79438c6f,134e8e9571017e0ea4d8c73e70b73680f95cd3193a9967184ecfbb6a7b2e7e27,"{""1"":6033,""2"":2967}","{""2"":9000}"
glove-200-angular,kmeans,4,9000,0.9,3,3,192,0.906,0.902411111111111,3.0,0.0,3.0,3.0,3.0,0.75,1.5385555555555555,0.6415797536136201,1.0,3.0,3.0,0.38463888888888886,1,,9bca00c43e83ffc07b944055c92bc6054e469e51e5db970e01996fa9db2cda7b,8ca260c1e5a81c6ff9e274a47d99c9861126b0475373bf9d4dab2ff4034c40be,84ab97ec6535f204c62d08676978d046dad9d42225abb0e133ab622b4d78e097,"{""1"":4869,""2"":3433,""3"":680,""4"":18}","{""3"":9000}"
glove-200-angular,kmeans,8,9000,0.9,4,4,256,0.9036000000000001,0.903788888888889,4.0,0.0,4.0,4.0,4.0,0.5,1.8713333333333333,0.9636161061335577,2.0,4.0,5.0,0.23391666666666666,1,,026c59a43604885c1cd5c0f87ed907c5f10627a3587cf5b605c17fd98b41d4de,478d613539be06d941fb32a7e13e67233c08d68acdc2da26defea830940447be,93b90c7d9f7f4931f50afd9f1b29ead89870d91280e2ac8e5d6cb8a600a6e48c,"{""1"":4009,""2"":2855,""3"":1521,""4"":523,""5"":84,""6"":8}","{""4"":9000}"
glove-200-angular,kmeans,16,9000,0.9,9,5,128,0.9023,0.9022111111111111,9.0,0.0,9.0,9.0,9.0,0.5625,2.1136666666666666,1.277006873730739,2.0,5.0,6.0,0.13210416666666666,1,,e0a2d50f079def7c556e3b6973da4c1e59445ffe40f9c00ef5d9ebe96baa5f93,104b73f26238aa8a0ce620ba803cbe9de1b6978d49f3cb7cec7de932f172c08f,18b55b6bd2a4f1f40c8be564f909751f7dfeb569cd3ad23ba4140f69c408b1f1,"{""1"":3855,""2"":2354,""3"":1440,""4"":795,""5"":400,""6"":135,""7"":18,""8"":3}","{""9"":9000}"
glove-200-angular,kmeans,32,9000,0.9,8,6,192,0.9054,0.9066444444444445,8.0,0.0,8.0,8.0,8.0,0.25,2.418111111111111,1.520659501988415,2.0,5.0,7.0,0.07556597222222222,1,,79786a469498c64fe6eabe821ec716bf7ac72da621f37afd66d5141783991bd4,153a365fa05c24704aa80361f9593f41d631d9026d47e6742c41fd579d7e4e52,df3f9f6679137cf5a8e316ea0d2251b09b9b2598282010c17d31b3fee6e3bd72,"{""1"":3154,""2"":2525,""3"":1380,""4"":940,""5"":554,""6"":279,""7"":135,""8"":27,""9"":6}","{""8"":9000}"
